query	class
designers in java with 5 years of experience	0
what are all my closed risks on next tuesday	0
my project celebrations happening in chennai between 1st of May and 2nd of December	1
java corporates in london on Monday	1
proposal in ajax for this month	0
java related training on this Saturday	0
case studies in ajax on Monday	0
SAP lead	0
leads with 5+ years of experience in java	0
what are all my upcoming conference in bangalore	1
best practice in ajax for this month	2
white papers available in scala today	0
what are all my upcoming trainings in Chennai between 1st of May and 2nd of December	1
UX developers in ajax	0
list all my project training in london on thursday	1
what are all my closed issue between 1st of May and 2nd of December	0
android designer with experience less than 10 years	0
case studie available in scala for next week	0
what are all the white papers for next month	2
java related best practices on Monday	2
scala related proposals for next month	0
Python training in mumbai today	1
list all my project training in london today	1
my best practice for this month	0
issue on Monday	0
UX analysts with 5+ years of experience	0
list all my recommended events in Chennai for this month	1
what are all my recommended conference I am participating From 17th April and 1st of May	1
white papers in oracle for next week	2
list all training I am speaking on 21st April	1
Python conference happening in chennai on Monday	1
list all my issue for this week	0
UX workshop I am participating	1
list all training in newyork From 17th April and 1st of May	1
what are all the course on thursday	2
case studies in oracle on Monday	0
what are all my upcoming event in mumbai on this Saturday	1
designer with 2-7 years of experience in oracle	0
SCALA training in Chennai for next week	1
SAP courses for next month	0
oracle white paper today	2
ajax competencies	2
what are all my recommended workshop in mumbai for next month	1
list all my recommended celebration in newyork on 21st April	1
oracle workshop I am speaking on next tuesday	1
ajax proposal today	0
what are all the trainings in bangalore on Monday	1
what are all my recommended workshop in bangalore From 17th April and 1st of May	1
SCALA event I am speaking From 17th April and 1st of May	1
list all my recommended celebration I am organizing on wednesday	1
scala related best practice on 21st April	0
training on next tuesday	0
what are all the events in mumbai for this week	1
java related courses on thursday	2
d&i training in bangalore	1
who are all the analyst in ajax	0
white papers in ajax for next week	0
competencies published in java on wednesday	0
list all the trainings From 17th April and 1st of May	2
ajax lessons learnt for next week	0
proposals in ajax on next tuesday	0
my project training I am participating	1
Python trainings happening in chennai	1
list all my recommended event I am organizing on thursday	1
list all my upcoming training I am participating today	1
what are all my upcoming trainings I am speaking for this week	1
what are all the trainings in bangalore for this week	1
SAP training on this Saturday	2
competencies available in scala on this Saturday	0
list all my initiated issue on 21st April	0
scala best practices for next week	2
java event I am speaking	1
ajax best practice on wednesday	0
oracle competencie between 1st of May and 2nd of December	0
list all workshops I am organizing for this week	1
SCALA training I am participating tomorrow	1
oracle trainings in bangalore on thursday	1
designers in oracle with experience less than 10 years	0
what are all the lessons learnts tomorrow	2
scala case studies for this week	0
proposals on Monday	0
what are all the training between 1st of May and 2nd of December	0
Hub event I am participating for next month	1
list all the case studie	0
java trainings today	0
designer in ajax with 5 years of experience	0
what are all my initiated risks for this week	0
ajax best practices today	0
list all my project issues From 17th April and 1st of May	0
.net lessons learnt	0
list all the training	0
list all the courses tomorrow	2
what are all the trainings in newyork for this week	1
what are all my recommended corporate in bangalore for next month	1
oracle white papers today	0
competencies available in scala on wednesday	0
my workshop From 17th April and 1st of May	1
list all event in Chennai on Monday	1
my project workshops in bangalore for this month	1
what are all the event I am speaking on thursday	1
my case studie	0
conference From 17th April and 1st of May	1
SAP lead in java	0
ajax architect	0
list all my in progress issue From 17th April and 1st of May	0
java expert in scala	0
scala white paper on 21st April	0
android experts in oracle	0
IBelong corporate in Chennai on 21st April	1
oracle training I am participating for this month	1
what are all my initiated tasks tomorrow	0
what are all my upcoming corporates I am participating between 1st of May and 2nd of December	1
d&i workshops I am participating on 21st April	1
my project corporates I am speaking between 1st of May and 2nd of December	1
list all my recommended conferences for next month	1
my case studie on next tuesday	0
best practices for next month	0
list all my closed apricots for next week	0
list all workshops in Chennai	1
oracle conference happening in chennai on wednesday	1
scala competencie on thursday	0
my workshops I am participating for next week	1
java related course on Monday	2
d&i event I am speaking for this week	1
Hub celebration in london on this Saturday	1
what are all my open task for next week	0
